Rank;Title;Artists;Date;Danceability;Energy;Loudness;Speechiness;Acousticness;Instrumentalness;Valence;id
1;Ella Baila Sola;Eslabon Armado, Peso Pluma;29/05/2023;0.668;0.758;-5176.0;0.033;0.483;0.0;0.834;3qQbCzHBycnDpGskqOWY0E
2;WHERE SHE GOES;Bad Bunny;29/05/2023;0.652;0.8;-4019.0;0.061;0.143;0.629;0.234;7ro0hRteUMfnOioTFI5TG1
3;La Bebe - Remix;Yng Lvcas, Peso Pluma;29/05/2023;0.812;0.479;-5678.0;0.333;0.213;0.0;0.559;2UW7JaomAMuX9pZrjVpHAU
4;Cupid - Twin Ver.;FIFTY FIFTY;29/05/2023;0.783;0.592;-8332.0;0.033;0.435;0.0;0.726;7FbrGaHYVDmfr7KoLIZnQ7
5;un x100to;Grupo Frontera, Bad Bunny;29/05/2023;0.569;0.724;-4076.0;0.047;0.228;0.0;0.562;6pD0ufEQq0xdHSsRbg9LBK
6;Flowers;Miley Cyrus;29/05/2023;0.707;0.681;-4325.0;0.067;0.063;0.0;0.646;4DHcnVTT87F0zZhRPYmZ3B
7;Daylight;David Kushner;29/05/2023;0.508;0.43;-9475.0;0.034;0.83;0.0;0.324;1odExI7RdWc4BT515LTAwj
8;Kill Bill;SZA;29/05/2023;0.644;0.735;-5747.0;0.039;0.052;0.144;0.418;1Qrg8KqiBpW07V7PNxwwwL
9;As It Was;Harry Styles;29/05/2023;0.52;0.731;-5338.0;0.056;0.342;0.001;0.662;4Dvkj6JhhA12EX05fT7y2e
10;TQG;KAROL G, Shakira;29/05/2023;0.72;0.63;-3547.0;0.277;0.673;0.0;0.607;0DWdj2oZMBFSzRsi2Cvfzf
11;Classy 101;Feid, Young Miko;29/05/2023;0.859;0.658;-4.79;0.159;0.145;0.0;0.672;6XSqqQIy7Lm7SnwxS4NrGx
12;TQM;Fuerza Regida;29/05/2023;0.786;0.853;-4955.0;0.059;0.273;0.0;0.963;368eeEO3Y2uZUQ6S5oIjcu
13;Anti-Hero;Taylor Swift;29/05/2023;0.637;0.643;-6571.0;0.052;0.13;0.0;0.533;0V3wPSX9ygBnCm8psDIegu
14;Calm Down (with Selena Gomez);Rema, Selena Gomez;29/05/2023;0.799;0.802;-5196.0;0.037;0.429;0.001;0.811;1s7oOCT8vauUh01PbJD6ps
15;Creepin' (with The Weeknd & 21 Savage);Metro Boomin, The Weeknd, 21 Savage;29/05/2023;0.715;0.62;-6005.0;0.048;0.417;0.0;0.172;2dHHgzDwk4BJdRwy9uXhTO
16;Die For You (with Ariana Grande) - Remix;The Weeknd, Ariana Grande;29/05/2023;0.575;0.5;-7594.0;0.071;0.227;0.0;0.506;4W4fNrZYkobj539TOWsLO2
17;Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long);Kodak Black, NLE Choppa, Jimin, JVKE, Muni Long;29/05/2023;0.715;0.681;-4.25;0.113;0.129;0.0;0.277;1vvcEHQdaUTvWt0EIUYcFK
18;See You Again (feat. Kali Uchis);Tyler, The Creator, Kali Uchis;29/05/2023;0.558;0.559;-9222.0;0.096;0.371;0.0;0.62;7KA4W4McWYRpgf0fWsJZWB
19;Angels Like You;Miley Cyrus;29/05/2023;0.672;0.642;-4035.0;0.031;0.098;0.0;0.494;1daDRI9ahBonbWD8YcxOIB
20;Last Night;Morgan Wallen;29/05/2023;0.492;0.675;-5456.0;0.039;0.467;0.0;0.478;7K3BhSpAxZBznislvUMVtn
21;BESO;ROSALÍA, Rauw Alejandro;29/05/2023;0.768;0.644;-6671.0;0.136;0.736;0.001;0.53;609E1JCInJncactoMmkDon
22;El Azul;Junior H, Peso Pluma;29/05/2023;0.558;0.648;-7081.0;0.055;0.226;0.0;0.844;1haJsMtoBhHfvuM7XWuT3W
23;I Wanna Be Yours;Arctic Monkeys;29/05/2023;0.464;0.417;-9345.0;0.026;0.136;0.022;0.479;5XeFesFbtLpXzIVDNQP22n
24;All My Life (feat. J. Cole);Lil Durk, J. Cole;29/05/2023;0.787;0.57;-5881.0;0.225;0.045;0.0;0.733;6T7FXSuXykeGktMLGp8WgE
25;Die For You;The Weeknd;29/05/2023;0.586;0.525;-7163.0;0.062;0.111;0.0;0.508;2LBqCSwhJGcFQeTHMVGwy3
26;Yandel 150;Yandel, Feid;29/05/2023;0.783;0.729;-3549.0;0.069;0.049;0.0;0.58;4FAKtPVycI4DxoOHC01YqD
27;Acróstico;Shakira;29/05/2023;0.748;0.478;-8886.0;0.121;0.837;0.0;0.353;7txjUEY6McJDJKqIo1Rxjp
